YearStart,DataSource,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2021,BRFSS,17,DIA,NPAW2_1,CRDPREV,RACE,OVR
2021,BRFSS,2,ALC,DIA12_2,CRDPREV,RACE,OVR
2021,BRFSS,48,AST,COPD7_0,CRDPREV,GENDER,OVR
2021,BRFSS,15,COPD,CVD9_1,MEAN,GENDER,OTH
2021,BRFSS,32,IMM,ART3_0,CRDPREV,RACE,GENM
2021,BRFSS,12,NPAW,COPD2_0,CRDPREV,GENDER,GENM
2021,BRFSS,26,ALC,TOB11_2,CRDPREV,RACE,OVR
2021,BRFSS,10,NPAW,OVC7_1,YESNO,GENDER,OTH
2021,BRFSS,40,TOB,NPAW3_1,AGEADJPREV,GENDER,OTH
2021,BRFSS,17,ART,OVC6_1,AGEADJPREV,RACE,MRC
2021,BRFSS,72,COPD,ART2_2,CRDPREV,RACE,OVR
2021,BRFSS,20,ALC,CVD7_0,CRDPREV,RACE,GENM
2021,BRFSS,49,CVD,TOB11_2,AGEADJPREV,GENDER,OVR
2021,BRFSS,24,TOB,TOB5_0,AGEADJPREV,GENDER,GENF
2021,BRFSS,32,COPD,ART3_0,AGEADJPREV,GENDER,GENF
2021,BRFSS,37,DIA,COPD2_0,MEDIAN,RACE,MRC
2021,BRFSS,57,CVD,CVD10_2,CRDPREV,OVERALL,GENF
2021,BRFSS,12,NPAW,ALC4_0,CRDPREV,RACE,HIS
2021,BRFSS,20,DIA,OVC6_2,CRDPREV,OVERALL,BLK
2021,BRFSS,19,DIA,DIA13_1,AGEADJPREV,RACE,GENF
2021,BRFSS,15,DIA,CVD9_1,AGEADJPREV,RACE,GENM
2021,BRFSS,58,DIA,TOB1_2,AGEADJPREV,GENDER,GENF
2021,BRFSS,1,ALC,DIA5_0,AGEADJPREV,RACE,WHT
2021,BRFSS,12,AST,OVC7_1,CRDPREV,RACE,MRC
2021,BRFSS,43,TOB,TOB1_3,CRDPREV,GENDER,HIS
2021,BRFSS,22,CKD,CVD7_0,AGEADJPREV,RACE,OTH
2021,BRFSS,44,ART,TOB4_0,AGEADJPREV,GENDER,WHT
2021,BRFSS,47,AST,MTH2_0,AGEADJPREV,RACE,WHT
2021,BRFSS,36,DIA,CVD4_0,AGEADJMEAN,RACE,WHT
2021,BRFSS,62,COPD,NPAW1_1,AGEADJMEAN,RACE,OVR
2021,BRFSS,15,DIA,NPAW3_1,AGEADJMEAN,RACE,HIS
2021,BRFSS,17,TOB,ART2_2,MEAN,OVERALL,GENF
2021,BRFSS,8,TOB,COPD2_0,CRDPREV,RACE,OTH
2021,BRFSS,3,COPD,MTH1_0,CRDPREV,RACE,OVR
2021,BRFSS,17,AST,ART2_2,CRDPREV,RACE,BLK
2021,BRFSS,11,NPAW,OVC7_1,CRDPREV,GENDER,WHT
2021,BRFSS,16,DIA,COPD3_0_1,CRDPREV,RACE,HIS
2021,BRFSS,22,CVD,RPH1_0,AGEADJPREV,GENDER,OTH
2021,BRFSS,30,DIA,AST5_2,AGEADJPREV,OVERALL,OVR
2021,BRFSS,52,OVC,MTH1_0,CRDPREV,GENDER,OTH
2021,BRFSS,74,OVC,ALC9_0,CRDPREV,OVERALL,GENM
2021,BRFSS,28,ART,ART5_0,AGEADJPREV,RACE,OVR
2021,BRFSS,11,ART,TOB11_1,CRDPREV,RACE,OVR
2021,BRFSS,62,DIA,OVC7_1,AGEADJPREV,RACE,OVR
2021,BRFSS,62,ART,ALC4_0,CRDPREV,GENDER,GENF
2021,BRFSS,19,ALC,TOB3_0,CRDPREV,RACE,HIS
2021,BRFSS,44,CVD,DIA2_1,CRDPREV,RACE,BLK
2021,BRFSS,67,ART,ART1_3,CRDPREV,GENDER,GENM
2021,BRFSS,25,NPAW,MTH2_0,MEAN,RACE,OTH
2021,BRFSS,16,NPAW,COPD2_0,MEAN,GENDER,GENM
2021,BRFSS,11,CVD,AST5_2,AGEADJPREV,OVERALL,GENF
2021,BRFSS,56,AST,OVC1_1,AGEADJMEAN,RACE,OVR
2021,BRFSS,65,TOB,COPD2_0,CRDPREV,GENDER,BLK
2021,BRFSS,30,COPD,CKD3_0,CRDPREV,RACE,OVR
2021,BRFSS,26,CKD,NPAW4_2,CRDPREV,RACE,WHT
2021,APIS,40,TOB,ART1_3,CRDPREV,GENDER,MRC
2021,BRFSS,46,DIA,NPAW4_2,CRDPREV,GENDER,OTH
2021,BRFSS,76,CVD,MTH2_0,CRDPREV,GENDER,OVR
2021,BRFSS,44,CKD,NPAW2_3,CRDPREV,GENDER,WHT
2021,BRFSS,28,AST,NPAW5_2,AGEADJPREV,OVERALL,OTH
2021,BRFSS,26,OVC,NPAW3_1,AGEADJPREV,RACE,GENM
2021,BRFSS,24,NPAW,ART1_3,CRDPREV,GENDER,HIS
2021,BRFSS,21,RPH,ALC5_1,CRDPREV,RACE,WHT
2021,BRFSS,47,ART,ART1_2,CRDPREV,RACE,GENF
2021,BRFSS,37,DIA,CVD9_1,AGEADJPREV,RACE,GENM
2021,BRFSS,30,CVD,NPAW1_1,AGEADJPREV,RACE,OTH
2021,BRFSS,9,CVD,AST1_1,AGEADJPREV,GENDER,GENM
2021,BRFSS,9,AST,MTH1_0,CRDPREV,GENDER,MRC
2021,BRFSS,10,COPD,NPAW5_2,AGEADJPREV,RACE,OTH
2021,BRFSS,20,DIA,TOB11_1,CRDPREV,RACE,OVR
2021,BRFSS,23,COPD,CVD10_1,CRDPREV,RACE,HIS
2021,BRFSS,3,NPAW,NPAW3_1,MEAN,GENDER,MRC
2021,BRFSS,29,AST,OVC7_1,AGEADJPREV,RACE,MRC
2021,BRFSS,72,CVD,DIA7_0,AGEADJPREV,RACE,OVR
2021,BRFSS,44,OVC,CVD9_1,AGEADJPREV,OVERALL,BLK
2021,BRFSS,16,ART,CVD6_1,CRDPREV,RACE,GENF
2021,BRFSS,36,DIA,ART2_1,AGEADJPREV,RACE,OVR
2021,BRFSS,40,ART,ART2_3,CRDPREV,GENDER,BLK
2021,BRFSS,3,ALC,DIA6_0,USD,GENDER,GENM
2021,BRFSS,35,AST,CVD7_0,AGEADJPREV,RACE,HIS
2021,BRFSS,35,OVC,COPD3_0,AGEADJPREV,RACE,OTH
2021,BRFSS,28,NPAW,DIA5_0,AGEADJPREV,OVERALL,OTH
2021,BRFSS,60,ART,ART1_3,CRDPREV,RACE,BLK
2021,BRFSS,20,DIA,DIA11_3,CRDPREV,OVERALL,GENF
2021,BRFSS,13,AST,DIA12_1,CRDPREV,GENDER,OVR
2021,BRFSS,23,CVD,DIA6_0,AGEADJPREV,OVERALL,HIS
2021,BRFSS,23,TOB,AST5_1,CRDPREV,GENDER,GENF
2021,BRFSS,4,DIA,AST5_1,CRDPREV,RACE,OVR
2021,BRFSS,39,COPD,NPAW10_0,AGEADJPREV,GENDER,BLK
2021,BRFSS,75,CVD,ART1_2,CRDPREV,RACE,BLK
2021,BRFSS,67,ART,AST5_1,CRDPREV,RACE,HIS
2021,BRFSS,56,AST,CVD6_1,CRDPREV,GENDER,HIS
2021,BRFSS,40,NPAW,DIA6_0,CRDPREV,RACE,HIS
2021,BRFSS,16,AST,ART5_0,CRDPREV,RACE,GENF
2021,BRFSS,10,AST,CVD10_2,CRDPREV,RACE,MRC
2021,BRFSS,8,TOB,ART5_0,AGEADJPREV,GENDER,WHT
2021,BRFSS,8,ART,OVC7_2,CRDPREV,RACE,GENM
2021,BRFSS,44,COPD,TOB2_2,AGEADJPREV,RACE,WHT
2021,BRFSS,5,DIA,ALC5_1,AGEADJPREV,RACE,MRC
2021,BRFSS,39,AST,AST5_1,CRDPREV,GENDER,OTH
